=== 调试日志生成时间: 2025-10-30 16:46:08 ===

[2025-10-30 16:46:08] 系统: 调试系统初始化完成
[2025-10-30 16:46:08] 系统: 手动开关状态: 开启(1)
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0027秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0032秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0026秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:08] 性能监控: 递归扫描目录 耗时: 0.001秒
